Lesson,Strong's Number
Lesson #0,413
Lesson #45,3967
Lesson #45,505
Lesson #03,3068
Lesson #03,113
Lesson #03,136
Lesson #03,430
Lesson #05,1931
Lesson #05,1931
Lesson #05,859
Lesson #05,859
Lesson #05,589
Lesson #05,1697
Lesson #05,3651
Lesson #05,3808
Lesson #05,7965
Lesson #06,376
Lesson #06,802
Lesson #06,5288
Lesson #06,5291
Lesson #06,1961
Lesson #06,1961
Lesson #06,4310
Lesson #06,8034
Lesson #07,1
Lesson #07,517
Lesson #07,1121
Lesson #07,1323
Lesson #07,2145
Lesson #07,5347
Lesson #07,127
Lesson #07,1285
Lesson #08,
Lesson #08,
Lesson #08,1004
Lesson #08,4100
Lesson #09,
Lesson #09,
Lesson #09,
Lesson #09,
Lesson #09,
Lesson #09,776
Lesson #09,4428
Lesson #10,241
Lesson #10,251
Lesson #10,269
Lesson #10,7218
Lesson #10,7272
Lesson #10,3207
Lesson #10,5869
Lesson #11,3605
Lesson #11,1992
Lesson #11,2004
Lesson #11,859
Lesson #11,859
Lesson #11,587
Lesson #11,5892
Lesson #11,1961
Lesson #11,5650
Lesson #12,3426
Lesson #12,369
Lesson #12,4725
Lesson #12,8033
Lesson #13,
Lesson #13,
Lesson #13,
Lesson #13,
Lesson #13,4325
Lesson #13,3220
Lesson #13,5973
Lesson #13,8064
Lesson #13,5921
Lesson #13,3942
Lesson #14,5930
Lesson #14,4100
Lesson #14,4069
Lesson #14,4100
Lesson #14,349
Lesson #14,4100
Lesson #14,4970
Lesson #14,335
Lesson #14,346
Lesson #14,375
Lesson #14,370
Lesson #14,575
Lesson #14,575
Lesson #15,1696
Lesson #15,6908
Lesson #15,7971
Lesson #15,5971
Lesson #15,7993
Lesson #15,6213
Lesson #15,8104
Lesson #15,853
Lesson #15,6963
Lesson #16,1870
Lesson #16,1961
Lesson #16,1961
Lesson #16,1961
Lesson #16,7121
Lesson #16,1980
Lesson #16,3427
Lesson #16,8085
Lesson #16,3947
Lesson #17,
Lesson #17,
Lesson #17,
Lesson #17,
Lesson #17,
Lesson #17,3899
Lesson #17,5414
Lesson #18,398
Lesson #19,1961
Lesson #19,1961
Lesson #19,1961
Lesson #19,3045
Lesson #19,5975
Lesson #20,168
Lesson #21,7673
Lesson #21,7637
Lesson #21,3117
Lesson #21,7911
Lesson #22,4672
Lesson #22,3318
Lesson #22,4639
Lesson #23,1818
Lesson #23,1875
Lesson #23,4427
Lesson #24/25,216
Lesson #24/25,3915
Lesson #24/25,1254
Lesson #24/25,6485
Lesson #26/27,935
Lesson #26/27,4941
Lesson #26/27,8199
Lesson #26/27,996
Lesson #26/27,6666
Lesson #26/27,2026
Lesson #26/27,3541
Lesson #26/27,6908
Lesson #28,1961
Lesson #28,1961
Lesson #28,1961
Lesson #28,1961
Lesson #28,7458
Lesson #29,1288
Lesson #29,6743
Lesson #29,7650
Lesson #29,4427
Lesson #29,3615
Lesson #29,7843
Lesson #29,3513
Lesson #29,6235
Lesson #29,6235
Lesson #30,310
Lesson #30,518
Lesson #30,834
Lesson #30,3863
Lesson #30,3884
Lesson #30,3651
Lesson #30,5704
Lesson #30,4616
Lesson #30,6258
Lesson #30,3972
Lesson #30,6491
Lesson #30,5254
Lesson #31/32,3581
Lesson #31/32,3772
Lesson #31/32,1471
Lesson #31/32,6662
Lesson #31/32,1419
Lesson #31/32,6996
Lesson #31/32,7227
Lesson #31/32,8147
Lesson #33/34,2088
Lesson #33/34,2063
Lesson #33/34,428
Lesson #33/34,1992
Lesson #33/34,2004
Lesson #33/34,310
Lesson #33/34,5315
Lesson #33/34,2233
Lesson #35/36,3847
Lesson #35/36,6680
